Sentence,Sentiment,Sentence_clear
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral,30 november 2009 finnish office furniture maker martela oyj hel maras say today make redundant three people nine lay permanently company office staff factory worker
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral,panostaja own 6877 pct share capital voting right suoman helasto share follow exchange share carry may 30 2007
The financial details of the transaction were not disclosed .,neutral,financial detail transaction disclose
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,two company also partner develop raiso cholesterol lower brand benecol
$NUGT Gold above 1400...wow,positive,nugt gold 1400wow
Diageo sales disappoint as currency and comparatives leave bitter taste,negative,diageo sale disappoint currency comparative leave bitter taste
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,neutral,finnish mreal kyro mill start negotiation cut staff
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative,london marketwatch share price end low london monday rebound bank stock fail offset broad weakness ftse 100
Shares in BAE Systems hit 10-month high on rating upgrade,positive,share bae system hit 10month high rating upgrade
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",neutral,capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people lay around six week start midmay say
The transaction is expected to be finalized by Dec 2009 .,neutral,transaction expect finalize dec 2009
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive,aria bounce player long 617 httpstkscoq0wff
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral,board say company omit tender substantial part work rightfully find nonresponsive evaluation team
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rise eur 175 mn first quarter 2010 eur 82 mn first quarter 2009
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,operator need learn use one device multiple level application include voicedirecte operation
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,positive,rival company gwr watco eye ra w takeover interest httpstkscoo0xy
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,net interest income eur 1522 mn eur 1010 mn 2008
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative,however order receive period review fall 17 quarteronquarter eur 213 million record second quarter 2010
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,neutral,net sale fall 33 third quarter 2008 eur 1305 mn
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,julyseptember 2009 konecrane sale decrease eur 3687 mn eur 5204 mn julyseptember 2008
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,result also burden increase fix cost associate operation china restructuring cost japan
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",neutral,cencorp net sale first quarter estimate eur091 2 compare eur4 5 first quarter 2008
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",neutral,finland bank àland report operating profit fall eur 61 mn second quarter 2008 eur 75 mn second quarter 2007
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral,cargotec share capital increase total eur 64299180
Sophos aims to raise $100m in London IPO,positive,sophos aim raise 100 m london ipo
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,new structure provide well communication fast decisionmake cost saving proha say
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,718430 new series share become subject trading helsinki stock exchange main list together old series share july 3 2006
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v say today net profit rise eur18 9 first nine month 2010 eur15 1 period year early
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,remainder revenue come technology agreement firm interdigital say
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral,tyrvaan sanomat publish twice week tyrvaan sanomat oy appear sastamala kiikoinen
"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",positive,cargotec corporation press release april 28 2008 200 pm finnish time cargotec macgregor business area provide marine cargo handle offshore load handling solution receive significant hatch cover order bulk carrier
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,juha haapakoski continue editorinchief budget responsibility also new publisher
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral,nordstjernan use option buy another 224 stake salcomp share vote
