sentence,sentiment,sentence_clear,sentence_pt
The group had an order book of EUR 7.74 mn at the end of 2007 .,neutral,The group had an order book of EUR 7.74 mn at the end of 2007 .,"O grupo possuía uma carteira de encomendas de 7,74 milhões de euros no final de 2007."
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",negative,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .","Em um comunicado separado à bolsa de valores de Helsinque, a Atria revelou que os lucros da empresa no terceiro trimestre diminuíram de 13,9 milhões de euros no terceiro trimestre do ano passado para 12,7 milhões de euros no terceiro trimestre deste ano."
Priceline's stock jumps to new high for the year after Barclays upgrade,positive,Priceline's stock jumps to new high for the year after Barclays upgrade,As ações da Priceline disparam para um novo recorde do ano após recomendação de compra do Barclays.
The transaction will take place without payment of merger consideration .,neutral,The transaction will take place without payment of merger consideration .,A transação ocorrerá sem o pagamento de qualquer valor referente à fusão.
ARM Royalties Accelerate as Smartphone Market Regains Strength,positive,ARM Royalties Accelerate as Smartphone Market Regains Strength,Os royalties da ARM aceleram à medida que o mercado de smartphones recupera força.
The company expects net sales to significantly increase from 2009 .,positive,The company expects net sales to significantly increase from 2009 .,A empresa espera que as vendas líquidas aumentem significativamente em relação a 2009.
The options might include a partial or total divestment of their shareholdings in Ovako .,neutral,The options might include a partial or total divestment of their shareholdings in Ovako .,As opções podem incluir a alienação parcial ou total de suas participações acionárias na Ovako.
Espoon kaupunki awarded contracts for personal care products .,positive,Espoon kaupunki awarded contracts for personal care products .,Espoon kaupunki recebeu contratos para produtos de higiene pessoal.
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,Os termos e condições do plano de opções de ações de 2003 foram publicados em um comunicado à bolsa de valores em 31 de março de 2003.
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,positive,BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,BXS: BancorpSouth anuncia prorrogação de acordos de fusão com... http://stks.co/s2PDF
NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,positive,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,NORDIC BUSINESS REPORT - 26 de junho de 2006 - Metso Corporation ganha encomenda de equipamentos no valor de 50 milhões de euros na Austrália - © 1998-2006 M2 COMMUNICATIONS LTD. O grupo finlandês de engenharia e tecnologia Metso Corporation anunciou na segunda-feira (26 de junho) que recebeu uma encomenda de equipamentos no valor de 50 milhões de euros na Austrália.
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .","Segundo uma reportagem da Neomarkka, os clientes da Kuitu Finland estão interessados ​​em comprar os produtos da empresa quando a produção for retomada."
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative,spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,"O SPY está encontrando resistência na média móvel de 8 dias em queda. Logo acima, encontra a média móvel de 50 dias."
"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",neutral,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion (  55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .","A aquisição da TeliaSonera seria a maior da France Telecom desde a compra da Orange plc em 2000 por 27,8 bilhões (55,1 bilhões) e criaria a quarta maior empresa de telecomunicações do mundo, atrás da AT&T Inc., Verizon Communications Inc. e NTT Corp. do Japão."
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",neutral,"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .","O prejuízo operacional foi de 0,8 milhões de euros, em comparação com um lucro de 3,9 milhões de euros no ano anterior."
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,"COMUNICADO DA SOLTEQ PLC 16.12.2010 RECOMPRA DE AÇÕES 16.12.2010 Na Bolsa de Valores de Helsinque, a Solteq Plc detém agora um total de 486.969 ações, incluindo as ações recompradas em 16.12.2010."
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",neutral,"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .","Atualmente, a empresa prevê que seu lucro antes dos impostos permanecerá abaixo do nível de 2009, quando atingiu EUR 700.000 (USD 934.000), em comparação com as projeções anteriores de um lucro antes dos impostos ligeiramente melhor."
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",neutral,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .","No período em análise, o lucro por ação foi de 0,07 euros, contra 0,11 euros."
The MET is located in the Central Business District ( CBD ) of Bangkok .,neutral,The MET is located in the Central Business District ( CBD ) of Bangkok .,O MET está localizado no Distrito Central de Negócios (CBD) de Bangkok.
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",neutral,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .","A empresa finlandesa de navegação Finnlines registrou um prejuízo antes de impostos de 6,5 milhões de euros no terceiro trimestre de 2009, em comparação com um lucro de 0,3 milhões de euros no terceiro trimestre de 2008."
"`` Following last year 's good profit development , we have entered the current year in a good position .",positive,"`` Following last year 's good profit development , we have entered the current year in a good position .","""Após o bom desempenho dos lucros no ano passado, entramos no ano atual em uma boa posição."""
"Kemira 's R&D organization comprises approximately 750 people , the company said .",neutral,"Kemira 's R&D organization comprises approximately 750 people , the company said .","A organização de P&D da Kemira é composta por aproximadamente 750 pessoas, segundo a empresa."
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .",neutral,"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .","O conselho de administração da empresa proporá um dividendo de 0,95 euros por ação para 2008 na assembleia geral anual, agendada para 23 de março de 2009."
